date,close
2011-01-31,77.95
2011-02-28,82.27
2011-03-31,84.17
2011-04-29,86.39
2011-05-31,84.84
2011-06-30,82.8
2011-07-29,79.74
2011-08-31,72.65
2011-09-30,64.3
2011-10-31,74.01
2011-11-30,73.73
2011-12-30,73.75
2012-01-31,79.02
2012-02-29,81.05
2012-03-30,82.81
2012-04-30,81.47
2012-05-31,76.11
2012-06-29,79.56
2012-07-31,78.35
2012-08-31,81.12
2012-09-28,83.44
2012-10-31,81.63
2012-11-30,82.08
2012-12-31,84.32
2013-01-31,89.58
2013-02-28,90.48
2013-03-28,94.43
2013-04-30,94.1
2013-05-31,97.8
2013-06-28,97.0
2013-07-31,103.66
2013-08-30,100.38
2013-09-30,106.61
2013-10-31,109.19
2013-11-29,113.51
2013-12-31,115.36
2014-01-31,112.16
2014-02-28,117.52
2014-03-31,116.34
2014-04-30,111.98
2014-05-30,112.86
2014-06-30,118.81
2014-07-31,111.19
2014-08-29,116.56
2014-09-30,109.35
2014-10-31,116.56
2014-11-28,116.69
2014-12-31,119.62
2015-01-30,115.7
2015-02-27,122.58
2015-03-31,124.37
2015-04-30,121.18
2015-05-29,123.89
2015-06-30,124.86
2015-07-31,122.96
2015-08-31,115.2
2015-09-30,109.2
2015-10-30,115.34
2015-11-30,119.1
2015-12-31,112.62
2016-01-29,102.96
2016-02-29,102.73
2016-03-31,110.63
2016-04-29,112.48
2016-05-31,115.0
2016-06-30,114.98
2016-07-29,121.07
2016-08-31,123.23
2016-09-30,124.21
2016-10-31,118.5
2016-11-30,131.61
2016-12-30,134.85
2017-01-31,135.23
2017-02-28,137.84
2017-03-31,137.48
2017-04-28,139.06
2017-05-31,136.32
2017-06-30,140.92
2017-07-31,141.51
2017-08-31,139.73
2017-09-29,148.18
2017-10-31,149.26
2017-11-30,153.65
2017-12-29,152.46
2018-01-31,156.36
2018-02-28,150.35
2018-03-29,151.83
2018-04-30,153.32
2018-05-31,162.77
2018-06-29,163.77
2018-07-31,165.87
2018-08-31,173.02
2018-09-28,168.55
2018-10-31,150.03
2018-11-30,152.62
2018-12-31,133.9
2019-01-31,149.06
2019-02-28,156.78
2019-03-29,153.09
2019-04-30,158.29
2019-05-31,145.86
2019-06-28,155.5
2019-07-31,156.56
2019-08-30,148.84
2019-09-30,151.34
2019-10-31,155.45
2019-11-29,161.77
2019-12-31,165.67
2020-01-31,160.53
2020-02-28,146.33
2020-03-31,114.46
2020-04-30,130.31
2020-05-29,138.9
2020-06-30,143.18
2020-07-31,147.36
2020-08-31,155.43
2020-09-30,149.79
2020-10-30,153.09
2020-11-30,181.02
2020-12-31,196.06
2021-01-29,205.56
2021-02-26,218.31
2021-03-31,220.94
2021-04-30,224.89
2021-05-28,225.5
2021-06-30,229.37
2021-07-30,221.05
2021-08-31,225.92
2021-09-30,218.75
2021-10-29,228.05
2021-11-30,218.17
2021-12-31,222.45
2022-01-31,201.24
2022-02-28,203.32
2022-03-31,205.27
2022-04-29,184.95
2022-05-31,185.31
2022-06-30,169.36
2022-07-29,187.25
2022-08-31,183.5
2022-09-30,164.92
2022-10-31,183.33
2022-11-30,187.37
2022-12-30,174.36
2023-01-31,191.48
2023-02-28,188.18
2023-03-31,178.4
2023-04-28,175.2
2023-05-31,173.77
2023-06-30,187.27
2023-07-31,198.71
2023-08-31,188.61
2023-09-29,176.74
2023-10-31,164.52
2023-11-30,179.66
2023-12-29,200.71
2024-01-31,192.88
2024-02-29,203.73
2024-03-28,210.3
2024-04-30,195.9
2024-05-31,205.77
2024-06-28,202.89
2024-07-31,223.86
2024-08-30,220.08
2024-09-30,220.89
2024-10-31,217.76
2024-11-29,241.87
2024-12-31,220.96
2025-01-31,226.48
2025-02-28,214.65
2025-03-31,199.49
2025-04-30,194.86
2025-05-30,205.07
2025-06-30,215.79
2025-07-31,219.39
2025-08-29,235.17
2025-09-30,241.96
2025-10-31,246.23
2025-11-28,248.75
2025-12-31,246.16
2026-01-30,259.65
2026-02-27,261.41
2026-03-31,248.0
2026-04-08,260.47
